X,Y,Time
47.21874,39.70275,07:07:10
47.21859,39.70282,07:07:27
47.21844,39.70289,07:07:38
47.2183,39.70295,07:07:50
47.21815,39.70301,07:08:08
47.21805,39.70306,07:08:19
47.21795,39.7031,07:08:38
47.21782,39.70316,07:08:57
47.21769,39.70321,07:09:10
47.21757,39.70326,07:09:28
47.21745,39.70332,07:09:38
47.2173,39.70339,07:09:55
47.21715,39.70346,07:10:12
47.21703,39.70351,07:10:31
47.21691,39.70357,07:10:48
47.21698,39.70391,07:11:04
47.21705,39.70425,07:11:14
47.21711,39.70454,07:11:23
47.21718,39.70484,07:11:35
47.21726,39.70517,07:11:44
47.21733,39.7055,07:12:04
47.21739,39.70576,07:12:20
47.21744,39.70602,07:12:34
47.2175,39.70632,07:12:52
47.21756,39.70662,07:13:07
47.21765,39.70705,07:13:23
47.21774,39.70747,07:13:36
47.21778,39.70768,07:13:45
47.21782,39.70789,07:14:01
47.21784,39.70798,07:14:11
47.21786,39.70807,07:14:21
47.21788,39.70817,07:14:40
47.21789,39.70826,07:14:54
47.21792,39.70839,07:15:03
47.21795,39.70852,07:15:18
47.21785,39.70856,07:15:31
47.21775,39.7086,07:15:45
47.21769,39.70862,07:15:54
47.21764,39.70865,07:16:04
47.2176,39.70866,07:16:21
47.21755,39.70868,07:16:30
47.2175,39.7087,07:16:47
47.21744,39.70872,07:17:07
47.21746,39.70881,07:17:24
47.21748,39.70891,07:17:44
47.21749,39.70897,07:17:59
47.2175,39.70904,07:18:11
47.21751,39.70908,07:18:30
47.21752,39.70913,07:18:40
47.21754,39.70923,07:18:58
47.21756,39.70933,07:19:09
47.21758,39.70943,07:19:24
47.2176,39.70952,07:19:34
47.21762,39.70961,07:19:53
47.21763,39.7097,07:20:04
47.21765,39.70977,07:20:21
47.21766,39.70983,07:20:33
47.21768,39.70992,07:20:46
47.2177,39.71001,07:21:04
47.21771,39.71008,07:21:15
47.21773,39.71015,07:21:24
47.21775,39.71024,07:21:41
47.21777,39.71034,07:21:56
47.21778,39.71042,07:22:06
47.2178,39.7105,07:22:15
47.21781,39.71057,07:22:32
47.21783,39.71063,07:22:42
47.21784,39.7107,07:22:57
47.21785,39.71078,07:23:08
47.21787,39.71085,07:23:23
47.21789,39.71092,07:23:36
47.2179,39.71097,07:23:52
47.21791,39.71102,07:24:09
47.21792,39.71108,07:24:19
47.21794,39.71115,07:24:28
47.21795,39.7112,07:24:44
47.21796,39.71126,07:24:56
47.21797,39.71131,07:25:07
47.21798,39.71136,07:25:16
47.218,39.71145,07:25:32
47.21802,39.71154,07:25:50
47.21805,39.71166,07:26:05
47.21807,39.71178,07:26:21
47.2181,39.7119,07:26:29
47.21812,39.71202,07:26:49
47.21814,39.71214,07:27:02
47.21817,39.71226,07:27:13
47.2182,39.7124,07:27:26
47.21822,39.71254,07:27:46
47.21824,39.71261,07:27:59
47.21825,39.71268,07:28:17
47.21827,39.71276,07:28:30
47.21828,39.71284,07:28:38
47.2183,39.71294,07:28:52
47.21833,39.71304,07:29:12
47.21834,39.71313,07:29:31
47.21836,39.71322,07:29:41
47.21838,39.71331,07:29:50
47.2184,39.7134,07:30:03
47.21842,39.71348,07:30:19
47.21843,39.71355,07:30:37
47.21845,39.71362,07:30:55
47.21846,39.71369,07:31:03
47.21848,39.71378,07:31:16
47.2185,39.71386,07:31:29
47.21852,39.71397,07:31:42
47.21854,39.71408,07:31:55
47.21856,39.71419,07:32:12
47.21859,39.71429,07:32:22
47.21861,39.71439,07:32:33
47.21863,39.7145,07:32:51
47.21867,39.71468,07:33:01
47.21871,39.71486,07:33:12
47.21873,39.71495,07:33:23
47.21875,39.71505,07:33:38
47.21877,39.71515,07:33:51
47.21879,39.71525,07:34:06
47.21881,39.71538,07:34:20
47.21884,39.7155,07:34:35
47.21886,39.71562,07:34:54
47.21889,39.71574,07:35:14
47.21891,39.71586,07:35:24
47.21894,39.71598,07:35:37
47.21896,39.71607,07:35:54
47.21898,39.71615,07:36:05
47.21899,39.71623,07:36:12
47.21901,39.7163,07:36:20
47.21902,39.71637,07:36:27
47.21904,39.71645,07:36:47
47.21907,39.71659,07:37:06
47.21909,39.71673,07:37:25
47.21911,39.71681,07:37:38
47.21913,39.7169,07:37:47
47.21914,39.71695,07:38:02
47.21916,39.71701,07:38:09
47.21918,39.71712,07:38:26
47.2192,39.71723,07:38:35
47.21922,39.71733,07:38:52
47.21924,39.71742,07:39:07
47.21926,39.71751,07:39:23
47.21928,39.7176,07:39:36
47.2193,39.71773,07:39:52
47.21933,39.71785,07:40:12
47.21935,39.71794,07:40:21
47.21936,39.71802,07:40:40
47.21938,39.71812,07:40:53
47.21941,39.71821,07:40:59
47.21942,39.7183,07:41:05
47.21944,39.71838,07:41:12
47.21946,39.71848,07:41:30
47.21948,39.71857,07:41:42
47.2195,39.71868,07:41:53
47.21952,39.71878,07:42:09
47.21954,39.71888,07:42:23
47.21956,39.71897,07:42:37
47.21958,39.71905,07:42:47
47.21959,39.71913,07:43:05
47.21961,39.71923,07:43:21
47.21963,39.71933,07:43:34
47.21965,39.71939,07:43:46
47.21966,39.71946,07:43:54
47.21968,39.71955,07:44:03
47.2197,39.71964,07:44:12
47.21972,39.7197,07:44:23
47.21973,39.71977,07:44:37
47.21959,39.71984,07:44:43
47.21944,39.7199,07:44:50
47.21931,39.71996,07:44:56
47.21917,39.72003,07:45:13
47.21905,39.72008,07:45:24
47.21894,39.72013,07:45:39
