X,Y,Time
47.21874,39.70276,11:51:41
47.21859,39.70283,11:52:01
47.21845,39.7029,11:52:20
47.21829,39.70297,11:52:39
47.21813,39.70304,11:52:56
47.21799,39.7031,11:53:15
47.21785,39.70316,11:53:31
47.21772,39.70322,11:53:48
47.21759,39.70328,11:54:08
47.21751,39.70331,11:54:25
47.21743,39.70334,11:54:44
47.2175,39.70367,11:55:01
47.21757,39.70401,11:55:20
47.21763,39.70431,11:55:39
47.2177,39.70461,11:55:56
47.21777,39.70497,11:56:15
47.21785,39.70534,11:56:34
47.21791,39.70565,11:56:54
47.21797,39.70596,11:57:09
47.21803,39.70624,11:57:26
47.21809,39.70652,11:57:46
47.21814,39.70672,11:58:06
47.21819,39.70693,11:58:22
47.21827,39.70732,11:58:42
47.21834,39.70772,11:59:02
47.2184,39.708,11:59:22
47.21846,39.70828,11:59:40
47.2183,39.70836,11:59:59
47.21815,39.70844,12:00:19
47.2178,39.70858,12:00:34
47.21745,39.70872,12:00:50
47.21746,39.70881,12:01:07
47.21747,39.70889,12:01:23
47.21749,39.70897,12:01:38
47.2175,39.70904,12:01:56
47.21752,39.70915,12:02:12
47.21754,39.70926,12:02:29
47.21758,39.70943,12:02:45
47.21762,39.70961,12:03:03
47.21766,39.70983,12:03:18
47.21771,39.71005,12:03:36
47.21774,39.71019,12:03:55
47.21776,39.71034,12:04:13
47.21778,39.71045,12:04:33
47.2178,39.71055,12:04:49
47.21783,39.71068,12:05:08
47.21786,39.7108,12:05:25
47.21788,39.7109,12:05:40
47.2179,39.71099,12:06:00
47.21792,39.71109,12:06:15
47.21795,39.7112,12:06:30
47.21799,39.7114,12:06:45
47.21804,39.71161,12:07:00
47.21808,39.71181,12:07:18
47.21812,39.712,12:07:34
47.21816,39.71221,12:07:53
47.2182,39.71242,12:08:13
47.21824,39.7126,12:08:32
47.21827,39.71279,12:08:52
47.21832,39.71302,12:09:10
47.21837,39.71325,12:09:30
47.21843,39.71352,12:09:49
47.21848,39.7138,12:10:07
47.21854,39.71405,12:10:26
47.2186,39.7143,12:10:46
47.21865,39.71456,12:11:05
47.2187,39.71482,12:11:20
47.21876,39.71507,12:11:38
47.21881,39.71533,12:11:53
47.21886,39.71555,12:12:09
47.2189,39.71578,12:12:25
47.21894,39.71596,12:12:41
47.21898,39.71615,12:13:00
47.21901,39.71628,12:13:19
47.21903,39.71642,12:13:34
47.2191,39.71674,12:13:51
47.21917,39.71707,12:14:08
47.21919,39.71719,12:14:27
47.21922,39.71731,12:14:44
47.21923,39.71737,12:15:01
47.21924,39.71743,12:15:19
47.21926,39.7175,12:15:39
47.21927,39.71757,12:15:59
47.21929,39.71763,12:16:14
47.2193,39.7177,12:16:28
47.21934,39.71789,12:16:47
47.21938,39.71808,12:17:03
47.21941,39.71821,12:17:17
47.21943,39.71834,12:17:34
