X,Y,Time
47.21873,39.70276,12:45:07
47.21844,39.70289,12:45:26
47.21815,39.70302,12:45:46
47.21804,39.70307,12:46:06
47.21793,39.70312,12:46:24
47.21779,39.70318,12:46:43
47.21764,39.70325,12:47:03
47.21756,39.70328,12:47:23
47.21748,39.70331,12:47:42
47.21728,39.7034,12:48:02
47.21709,39.70348,12:48:20
47.21701,39.70352,12:48:38
47.21692,39.70356,12:48:57
47.21666,39.70368,12:49:17
47.2164,39.7038,12:49:35
47.21627,39.70386,12:49:55
47.21614,39.70392,12:50:13
47.21603,39.70398,12:50:31
47.21591,39.70403,12:50:49
47.216,39.70443,12:51:08
47.21608,39.70482,12:51:28
47.21612,39.70501,12:51:46
47.21616,39.7052,12:52:04
47.21621,39.7054,12:52:22
47.21626,39.7056,12:52:42
47.2163,39.70579,12:53:02
47.21635,39.70598,12:53:21
47.2164,39.70625,12:53:41
47.21646,39.70653,12:53:59
47.21651,39.70678,12:54:17
47.21657,39.70703,12:54:37
47.21664,39.70736,12:54:56
47.21671,39.70769,12:55:15
47.21676,39.70792,12:55:34
47.21681,39.70815,12:55:53
47.21686,39.7084,12:56:11
47.21691,39.70865,12:56:29
47.21699,39.70898,12:56:47
47.21706,39.70931,12:57:07
47.21713,39.70961,12:57:26
47.21719,39.70992,12:57:46
47.21723,39.71012,12:58:05
47.21727,39.71032,12:58:24
47.21732,39.71061,12:58:44
47.21738,39.7109,12:59:03
47.21743,39.7112,12:59:23
47.21749,39.71149,12:59:43
47.21753,39.71172,13:00:01
47.21758,39.71195,13:00:21
47.21761,39.71213,13:00:39
47.21764,39.71231,13:00:57
47.21768,39.71253,13:01:16
47.21771,39.71275,13:01:35
47.21776,39.71298,13:01:54
47.2178,39.71322,13:02:12
47.21784,39.71337,13:02:32
47.21787,39.71352,13:02:50
47.21794,39.71389,13:03:09
47.21801,39.71426,13:03:29
47.21805,39.71446,13:03:46
47.21808,39.71466,13:04:03
47.21815,39.715,13:04:21
47.21823,39.71534,13:04:41
47.21829,39.71562,13:05:01
47.21834,39.7159,13:05:20
47.21838,39.71605,13:05:38
47.21841,39.7162,13:05:56
47.21851,39.71666,13:06:14
47.21861,39.71712,13:06:34
47.21862,39.71718,13:06:53
47.21864,39.71724,13:07:12
47.21866,39.71741,13:07:32
47.21868,39.71758,13:07:49
47.21875,39.7179,13:08:06
47.21882,39.71822,13:08:26
47.21889,39.71854,13:08:45
47.21896,39.71885,13:09:05
47.21904,39.71924,13:09:24
47.21912,39.71963,13:09:44
47.21917,39.71981,13:10:03
47.21921,39.72,13:10:21
47.21903,39.7201,13:10:40
47.21884,39.72019,13:10:59
47.21867,39.72027,13:11:17
47.2185,39.72035,13:11:37
47.21833,39.72043,13:11:56
47.21816,39.72051,13:12:15
47.21793,39.72061,13:12:35
47.2177,39.72072,13:12:53
47.21751,39.72082,13:13:12
47.21731,39.72093,13:13:31
47.21706,39.72106,13:13:50
47.21681,39.72118,13:14:10
47.21669,39.72124,13:14:30
47.21656,39.72131,13:14:49
47.21644,39.72136,13:15:07
47.21631,39.72142,13:15:24
47.2161,39.72152,13:15:42
47.2159,39.72161,13:16:01
47.21575,39.72168,13:16:21
47.2156,39.72175,13:16:41
47.21551,39.72179,13:17:01
47.21541,39.72183,13:17:19
47.21532,39.72188,13:17:36
47.21522,39.72192,13:17:56
47.21508,39.722,13:18:14
47.21493,39.72207,13:18:32
47.21479,39.72214,13:18:49
47.21465,39.7222,13:19:07
47.2145,39.72227,13:19:25
47.21435,39.72234,13:19:42
47.21417,39.72242,13:20:00
47.21398,39.7225,13:20:20
47.21382,39.72258,13:20:38
47.21365,39.72266,13:20:57
47.21354,39.72271,13:21:17
47.21343,39.72277,13:21:36
47.21334,39.7228,13:21:55
47.21326,39.72284,13:22:13
47.2131,39.72291,13:22:31
47.21295,39.72299,13:22:50
47.21283,39.72304,13:23:08
47.21271,39.7231,13:23:27
47.21247,39.72321,13:23:44
47.21223,39.72332,13:24:04
47.21202,39.72343,13:24:21
47.2118,39.72353,13:24:40
47.21162,39.72361,13:24:59
47.21144,39.7237,13:25:16
47.21112,39.72384,13:25:33
47.2108,39.72398,13:25:51
47.21074,39.724,13:26:08
47.21067,39.72403,13:26:26
47.21042,39.72414,13:26:46
47.21016,39.72425,13:27:05
47.21,39.72432,13:27:22
47.20983,39.72439,13:27:42
47.20971,39.72444,13:28:02
47.20959,39.72449,13:28:21
47.20946,39.72454,13:28:40
47.20934,39.72459,13:28:56
47.20919,39.72466,13:29:15
47.20903,39.72473,13:29:35
47.20888,39.72479,13:29:51
47.20873,39.72486,13:30:09
47.20861,39.7249,13:30:27
47.20849,39.72495,13:30:44
47.20834,39.72502,13:31:00
47.20819,39.72508,13:31:17
47.20809,39.72513,13:31:37
47.20799,39.72517,13:31:54
47.2079,39.72521,13:32:13
47.20782,39.72525,13:32:29
47.20776,39.72527,13:32:46
