X,Y,Time
47.21873,39.70276,17:40:12
47.21861,39.70282,17:40:30
47.21849,39.70288,17:40:41
47.21844,39.7029,17:40:52
47.2184,39.70291,17:41:06
47.2183,39.70296,17:41:17
47.21819,39.70301,17:41:29
47.2181,39.70305,17:41:40
47.21801,39.70309,17:41:50
47.21793,39.70312,17:42:00
47.21785,39.70315,17:42:19
47.21778,39.70318,17:42:32
47.21771,39.70321,17:42:46
47.21761,39.70326,17:43:06
47.21751,39.7033,17:43:22
47.2174,39.70334,17:43:36
47.2173,39.70339,17:43:53
47.21722,39.70342,17:44:09
47.21715,39.70346,17:44:25
47.21707,39.7035,17:44:42
47.21698,39.70354,17:44:53
47.21695,39.70355,17:45:10
47.21692,39.70356,17:45:22
47.21681,39.70361,17:45:32
47.21669,39.70366,17:45:42
47.21663,39.70369,17:46:00
47.21656,39.70372,17:46:15
47.2165,39.70375,17:46:30
47.21644,39.70378,17:46:43
47.21642,39.70379,17:47:00
47.21641,39.7038,17:47:20
47.21643,39.7039,17:47:34
47.21645,39.70401,17:47:54
47.21648,39.70418,17:48:13
47.21652,39.70435,17:48:25
47.21654,39.70446,17:48:43
47.21657,39.70458,17:49:02
47.21659,39.70468,17:49:19
47.21662,39.70479,17:49:37
47.21664,39.7049,17:49:47
47.21667,39.70502,17:50:02
47.21668,39.70509,17:50:16
47.2167,39.70516,17:50:30
47.21671,39.70524,17:50:44
47.21673,39.70531,17:50:59
47.21674,39.70539,17:51:09
47.21676,39.70547,17:51:19
47.21679,39.7056,17:51:39
47.21682,39.70573,17:51:50
47.21684,39.70584,17:52:02
47.21686,39.70594,17:52:14
47.21688,39.70605,17:52:23
47.2169,39.70615,17:52:34
47.21694,39.70632,17:52:48
47.21697,39.70649,17:52:57
47.217,39.7066,17:53:07
47.21702,39.70671,17:53:22
47.21704,39.70681,17:53:36
47.21706,39.70692,17:53:53
47.21711,39.70714,17:54:03
47.21716,39.70737,17:54:23
47.21718,39.70748,17:54:33
47.2172,39.70758,17:54:51
47.21722,39.70769,17:55:01
47.21724,39.70779,17:55:17
47.21728,39.70795,17:55:34
47.21732,39.70811,17:55:47
47.21734,39.70822,17:56:05
47.21736,39.70833,17:56:20
47.21738,39.70841,17:56:36
47.2174,39.7085,17:56:54
47.21743,39.70866,17:57:08
47.21746,39.70882,17:57:20
47.21747,39.7089,17:57:40
47.21749,39.70898,17:57:53
47.21751,39.70907,17:58:11
47.21752,39.70916,17:58:23
47.21754,39.70926,17:58:40
47.21756,39.70935,17:58:55
47.21758,39.70945,17:59:12
47.21761,39.70956,17:59:29
47.21763,39.70967,17:59:40
47.21765,39.70977,17:59:52
47.21767,39.70985,18:00:05
47.21768,39.70993,18:00:18
47.2177,39.71003,18:00:35
47.21772,39.71013,18:00:55
47.21775,39.71025,18:01:14
47.21777,39.71036,18:01:24
47.21778,39.71044,18:01:33
47.2178,39.71052,18:01:50
47.21781,39.71058,18:02:00
47.21783,39.71065,18:02:16
47.21785,39.71075,18:02:25
47.21787,39.71085,18:02:38
47.21791,39.71101,18:02:53
47.21794,39.71118,18:03:07
47.21797,39.71131,18:03:15
47.218,39.71144,18:03:31
47.21801,39.71151,18:03:47
47.21803,39.71159,18:03:55
47.21806,39.71172,18:04:14
47.21808,39.71184,18:04:33
47.2181,39.71193,18:04:42
47.21812,39.71202,18:04:59
47.21815,39.71215,18:05:07
47.21817,39.71229,18:05:26
47.21819,39.71238,18:05:46
47.21821,39.71247,18:06:06
47.21823,39.71258,18:06:22
47.21825,39.71268,18:06:36
47.21827,39.71276,18:06:46
47.21828,39.71284,18:06:55
47.21831,39.71296,18:07:15
47.21833,39.71309,18:07:28
47.21836,39.7132,18:07:43
47.21838,39.7133,18:07:56
47.2184,39.71341,18:08:14
47.21842,39.71352,18:08:25
47.21845,39.71365,18:08:38
47.21848,39.71378,18:08:52
47.2185,39.71389,18:09:10
47.21853,39.714,18:09:23
47.21855,39.71412,18:09:42
47.21858,39.71425,18:09:55
47.21861,39.71437,18:10:15
47.21863,39.7145,18:10:30
47.21867,39.71467,18:10:37
47.2187,39.71483,18:10:56
