X,Y,Time
47.21873,39.70277,06:12:20
47.21858,39.70283,06:12:48
47.21844,39.70289,06:13:26
47.21851,39.70327,06:13:51
47.21857,39.70365,06:14:30
47.21864,39.70394,06:14:59
47.2187,39.70424,06:15:22
47.21878,39.70457,06:15:58
47.21885,39.70491,06:16:25
47.21891,39.70524,06:16:59
47.21898,39.70557,06:17:25
47.21909,39.70608,06:17:59
47.2192,39.7066,06:18:34
47.21927,39.70697,06:19:11
47.21935,39.70734,06:19:49
47.2194,39.70759,06:20:10
47.21946,39.70784,06:20:48
47.2192,39.70795,06:21:14
47.21895,39.70806,06:21:38
47.21878,39.70814,06:21:59
47.21861,39.70822,06:22:34
47.21853,39.70825,06:22:55
47.21845,39.70829,06:23:19
47.21855,39.70882,06:23:59
47.21866,39.70935,06:24:31
47.21875,39.70978,06:25:13
47.21885,39.71021,06:25:34
47.21897,39.71077,06:26:11
47.21909,39.71133,06:26:31
47.21922,39.71195,06:27:02
47.21935,39.71258,06:27:33
47.21948,39.71319,06:28:04
47.21961,39.71381,06:28:32
47.21979,39.7147,06:29:11
47.21997,39.71558,06:29:43
47.22012,39.71631,06:30:10
47.22027,39.71703,06:30:54
47.22041,39.71774,06:31:34
47.22056,39.71845,06:32:05
47.22064,39.71889,06:32:40
47.22073,39.71933,06:33:18
47.22023,39.71955,06:33:56
47.21973,39.71977,06:34:21
47.21927,39.71999,06:34:56
47.21881,39.72021,06:35:34
47.21845,39.72037,06:36:02
47.2181,39.72054,06:36:25
47.21784,39.72065,06:37:01
47.21758,39.72076,06:37:44
47.21711,39.72102,06:38:20
47.21663,39.72128,06:38:44
47.21624,39.72145,06:39:04
47.21586,39.72162,06:39:47
47.21539,39.72185,06:40:08
47.21492,39.72208,06:40:47
47.21442,39.72231,06:41:37
47.21391,39.72254,06:42:15
47.21346,39.72275,06:43:04
47.21301,39.72296,06:43:40
47.2125,39.7232,06:44:34
47.21198,39.72345,06:45:03
47.21159,39.72363,06:45:48
47.2112,39.72381,06:46:21
47.21059,39.72407,06:46:50
47.20999,39.72434,06:47:16
47.20954,39.72452,06:47:48
47.20909,39.7247,06:48:40
47.20852,39.72495,06:49:06
47.20794,39.72519,06:49:46
47.20748,39.72541,06:50:07
47.20702,39.72563,06:50:44
47.20661,39.72582,06:51:31
47.20619,39.72602,06:52:20
47.20617,39.72593,06:52:45
47.20615,39.72583,06:53:35
47.20615,39.72575,06:54:28
47.20615,39.72567,06:54:54
47.20618,39.7256,06:55:46
47.2062,39.72553,06:56:37
47.20623,39.72548,06:57:29
47.20626,39.72543,06:57:52
